,brawlername,event.mode,event.map,total_games,total_draws,total_wins,winrate
1595,EDGAR,hotZone,Quarter Pounder,13,0.0,13.0,1.0
1596,EDGAR,hotZone,Parallel Plays,7,0.0,5.0,0.7142857142857143
1597,EDGAR,hotZone,Open Zone,4,0.0,3.0,0.75
1598,EDGAR,hotZone,Dueling Beetles,10,0.0,9.0,0.9
1599,EDGAR,hotZone,Controller Chaos,13,0.0,12.0,0.9230769230769231
1600,EDGAR,heist,Tornado Ring,43,0.0,42.0,0.9767441860465116
1601,EDGAR,heist,Snaked Assault,56,0.0,49.0,0.875
1602,EDGAR,heist,Safe Zone,1,0.0,1.0,1.0
1603,EDGAR,heist,Pit Stop,302,1.0,245.0,0.8112582781456954
1604,EDGAR,heist,Kaboom Canyon,19,0.0,19.0,1.0
1605,EDGAR,heist,Hot Potato,17,0.0,12.0,0.7058823529411765
1606,EDGAR,gemGrab,Undermine,4,0.0,3.0,0.75
1607,EDGAR,gemGrab,Minecart Madness,17,0.0,15.0,0.8823529411764706
1608,EDGAR,gemGrab,Hard Rock Mine,3,0.0,2.0,0.6666666666666666
1609,EDGAR,gemGrab,Gem Fort,29,0.0,21.0,0.7241379310344828
1610,EDGAR,gemGrab,Double Swoosh,8,0.0,8.0,1.0
1611,EDGAR,gemGrab,Deep Diner,9,0.0,8.0,0.8888888888888888
1612,EDGAR,gemGrab,Crystal Arcade,9,0.0,9.0,1.0
1613,EDGAR,brawlBall,Super Beach,9,0.0,5.0,0.5555555555555556
1614,EDGAR,brawlBall,Sunny Soccer,15,0.0,11.0,0.7333333333333333
1615,EDGAR,brawlBall,Sneaky Fields,78,0.0,56.0,0.717948717948718
1616,EDGAR,brawlBall,Pinhole Punt,26,0.0,23.0,0.8846153846153846
1617,EDGAR,brawlBall,Center Stage,83,1.0,57.0,0.6867469879518072
1618,EDGAR,brawlBall,Beach Ball,16,0.0,11.0,0.6875
1619,EDGAR,brawlBall,Backyard Bowl,13,0.0,10.0,0.7692307692307693
1620,EDGAR,bounty,Temple Ruins,2,0.0,1.0,0.5
1621,EDGAR,bounty,Shooting Star,4,0.0,4.0,1.0
1622,EDGAR,bounty,Layer Cake,13,0.0,11.0,0.8461538461538461
1623,EDGAR,bounty,Hideout,3,0.0,3.0,1.0
1624,EDGAR,bounty,Excel,5,0.0,5.0,1.0
1625,EDGAR,bounty,Dry Season,1,0.0,1.0,1.0
1626,DYNAMIKE,knockout,X Marks the Spot,23,0.0,17.0,0.7391304347826086
1627,DYNAMIKE,knockout,Riverside,9,0.0,7.0,0.7777777777777778
1628,DYNAMIKE,knockout,Out in the Open,11,0.0,7.0,0.6363636363636364
1629,DYNAMIKE,knockout,New Perspective,18,0.0,16.0,0.8888888888888888
1630,DYNAMIKE,knockout,Goldarm Gulch,7,0.0,4.0,0.5714285714285714
1631,DYNAMIKE,knockout,Flaring Phoenix,7,0.0,5.0,0.7142857142857143
1632,DYNAMIKE,knockout,Belle`s Rock,25,0.0,21.0,0.84
1633,DYNAMIKE,hotZone,Split,432,0.0,348.0,0.8055555555555556
1634,DYNAMIKE,hotZone,Ring of Fire,3,0.0,3.0,1.0
1635,DYNAMIKE,hotZone,Quarter Pounder,74,0.0,67.0,0.9054054054054054
1636,DYNAMIKE,hotZone,Parallel Plays,34,0.0,31.0,0.9117647058823529
1637,DYNAMIKE,hotZone,Open Zone,6,0.0,6.0,1.0
1638,DYNAMIKE,hotZone,Dueling Beetles,42,0.0,36.0,0.8571428571428571
1639,DYNAMIKE,hotZone,Controller Chaos,142,0.0,121.0,0.852112676056338
1640,DYNAMIKE,heist,Tornado Ring,72,1.0,56.0,0.7777777777777778
1641,DYNAMIKE,heist,Snaked Assault,35,0.0,33.0,0.9428571428571428
